index,iso_a3,count
0,FJI,0
1,TZA,0
2,ESH,0
3,CAN,36
13,USA,36
14,KAZ,0
15,UZB,0
16,PNG,0
17,IDN,2
19,ARG,0
20,CHL,0
21,COD,0
22,SOM,0
23,KEN,0
24,SDN,0
25,TCD,0
26,HTI,0
27,DOM,0
28,RUS,0
29,BHS,0
30,FLK,0
31,NOR,1
32,GRL,0
33,ATF,0
34,TLS,0
35,ZAF,36
36,LSO,0
37,MEX,1
38,URY,0
39,BRA,0
40,BOL,0
41,PER,0
42,COL,0
43,PAN,0
44,CRI,0
45,NIC,0
46,HND,0
47,SLV,0
48,GTM,0
49,BLZ,0
50,VEN,0
51,GUY,0
52,SUR,0
53,FRA,2
55,FRA,36
56,ECU,0
57,PRI,0
58,JAM,0
59,CUB,0
60,ZWE,0
61,BWA,0
62,NAM,0
63,SEN,0
64,MLI,0
65,MRT,0
66,BEN,0
67,NER,0
68,NGA,0
69,CMR,0
70,TGO,0
71,GHA,0
72,CIV,0
73,GIN,0
74,GNB,0
75,LBR,0
76,SLE,0
77,BFA,0
78,CAF,0
79,COG,0
80,GAB,0
81,GNQ,0
82,ZMB,0
83,MWI,0
84,MOZ,0
85,SWZ,0
86,AGO,0
87,BDI,0
88,ISR,0
89,LBN,0
90,MDG,0
91,PSE,0
92,GMB,0
93,TUN,0
94,DZA,0
95,JOR,0
96,ARE,0
97,QAT,0
98,KWT,0
99,IRQ,0
100,OMN,0
101,VUT,0
102,KHM,0
103,THA,0
104,LAO,0
105,MMR,0
106,VNM,0
107,PRK,0
108,KOR,0
109,MNG,0
110,IND,2
112,BGD,0
113,BTN,0
114,NPL,0
115,PAK,0
116,AFG,0
117,TJK,0
118,KGZ,0
119,TKM,0
120,IRN,0
121,SYR,0
122,ARM,0
123,SWE,0
124,BLR,0
125,UKR,0
126,POL,1
127,AUT,0
128,HUN,0
129,MDA,0
130,ROU,36
131,LTU,0
132,LVA,0
133,EST,0
134,DEU,1
135,DEU,36
136,BGR,0
137,GRC,0
138,TUR,0
139,ALB,0
140,HRV,0
141,CHE,0
142,LUX,0
143,BEL,0
144,NLD,1
145,PRT,0
146,ESP,36
147,IRL,0
148,NCL,0
149,SLB,0
150,NZL,36
151,AUS,0
152,LKA,0
153,CHN,0
154,TWN,0
155,ITA,2
157,DNK,0
158,GBR,36
178,ISL,0
179,AZE,0
180,GEO,0
181,PHL,0
182,MYS,1
183,BRN,0
184,SVN,0
185,FIN,0
186,SVK,0
187,CZE,0
188,ERI,0
189,JPN,0
190,PRY,0
191,YEM,0
192,SAU,0
193,ATA,0
194,CYN,0
195,CYP,0
196,MAR,0
197,EGY,0
198,LBY,0
199,ETH,0
200,DJI,0
201,SOL,0
202,UGA,0
203,RWA,0
204,BIH,0
205,MKD,0
206,SRB,0
207,MNE,0
208,-99,0
209,TTO,0
210,SSD,0
